HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh,
2023-12-31 23:00:00;2024-01-01 00:00:00;DK2;259357;1228,300641
2024-01-01 00:00:00;2024-01-01 01:00:00;DK2;241186;1124,279502
2024-01-01 01:00:00;2024-01-01 02:00:00;DK2;269806;1243,561091
2024-01-01 02:00:00;2024-01-01 03:00:00;DK2;286775;1256,788772
2024-01-01 03:00:00;2024-01-01 04:00:00;DK2;346908;1370,11811
2024-01-01 04:00:00;2024-01-01 05:00:00;DK2;348406;1354,278624
2024-01-01 05:00:00;2024-01-01 06:00:00;DK2;323327;1227,279555
2024-01-01 06:00:00;2024-01-01 07:00:00;DK2;314090;1210,558635
2024-01-01 07:00:00;2024-01-01 08:00:00;DK2;310088;1159,960729
2024-01-01 08:00:00;2024-01-01 09:00:00;DK2;270033;1154,827496
2024-01-01 09:00:00;2024-01-01 10:00:00;DK2;253641;1241,358962
2024-01-01 10:00:00;2024-01-01 11:00:00;DK2;239308;1256,261772
2024-01-01 11:00:00;2024-01-01 12:00:00;DK2;231299;1211,525132
2024-01-01 12:00:00;2024-01-01 13:00:00;DK2;227334;1203,419750
2024-01-01 13:00:00;2024-01-01 14:00:00;DK2;182927;970,137665
2024-01-01 14:00:00;2024-01-01 15:00:00;DK2;202999;1062,590533
2024-01-01 15:00:00;2024-01-01 16:00:00;DK2;225550;1193,617596
2024-01-01 16:00:00;2024-01-01 17:00:00;DK2;198810;1087,491218
2024-01-01 17:00:00;2024-01-01 18:00:00;DK2;195689;1045,264918
2024-01-01 18:00:00;2024-01-01 19:00:00;DK2;231049;1187,418379
2024-01-01 19:00:00;2024-01-01 20:00:00;DK2;248906;1238,616280
2024-01-01 20:00:00;2024-01-01 21:00:00;DK2;263911;1223,897322
2024-01-01 21:00:00;2024-01-01 22:00:00;DK2;272753;1164,910498
2024-01-01 22:00:00;2024-01-01 23:00:00;DK2;290817;1166,442782
2024-01-01 23:00:00;2024-01-02 00:00:00;DK2;293001;1088,95281
2024-01-02 00:00:00;2024-01-02 01:00:00;DK2;267148;986,8655
2024-01-02 01:00:00;2024-01-02 02:00:00;DK2;263034;909,224238
2024-01-02 02:00:00;2024-01-02 03:00:00;DK2;271000;960,813501
2024-01-02 03:00:00;2024-01-02 04:00:00;DK2;251096;875,436341
2024-01-02 04:00:00;2024-01-02 05:00:00;DK2;254400;1019,830430
2024-01-02 05:00:00;2024-01-02 06:00:00;DK2;225823;1031,535790
2024-01-02 06:00:00;2024-01-02 07:00:00;DK2;229575;1190,486357
2024-01-02 07:00:00;2024-01-02 08:00:00;DK2;235510;1339,310855
2024-01-02 08:00:00;2024-01-02 09:00:00;DK2;228366;1387,567173
2024-01-02 09:00:00;2024-01-02 10:00:00;DK2;235121;1552,225208
2024-01-02 10:00:00;2024-01-02 11:00:00;DK2;255283;1781,683553
2024-01-02 11:00:00;2024-01-02 12:00:00;DK2;268624;1948,271888
2024-01-02 12:00:00;2024-01-02 13:00:00;DK2;280422;2103,814060
2024-01-02 13:00:00;2024-01-02 14:00:00;DK2;292401;2276,529382
2024-01-02 14:00:00;2024-01-02 15:00:00;DK2;289175;2290,133277
2024-01-02 15:00:00;2024-01-02 16:00:00;DK2;286073;2321,490129
2024-01-02 16:00:00;2024-01-02 17:00:00;DK2;283324;2299,568669
2024-01-02 17:00:00;2024-01-02 18:00:00;DK2;284441;2312,870590
2024-01-02 18:00:00;2024-01-02 19:00:00;DK2;291741;2311,801868
2024-01-02 19:00:00;2024-01-02 20:00:00;DK2;290220;2292,67101
2024-01-02 20:00:00;2024-01-02 21:00:00;DK2;306701;2317,380689
2024-01-02 21:00:00;2024-01-02 22:00:00;DK2;299116;2226,872438
2024-01-02 22:00:00;2024-01-02 23:00:00;DK2;298145;2149,923977
2024-01-02 23:00:00;2024-01-03 00:00:00;DK2;300033;2125,736684
2024-01-03 00:00:00;2024-01-03 01:00:00;DK2;298581;2073,544705
2024-01-03 01:00:00;2024-01-03 02:00:00;DK2;297995;2066,657387
2024-01-03 02:00:00;2024-01-03 03:00:00;DK2;306743;2053,466972
2024-01-03 03:00:00;2024-01-03 04:00:00;DK2;316409;2036,152644
2024-01-03 04:00:00;2024-01-03 05:00:00;DK2;313841;1984,181688
2024-01-03 05:00:00;2024-01-03 06:00:00;DK2;293191;1936,355923
