"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","Norway (NO)","18349.92","17872.08"
"01/01/2024 01:00 - 01/01/2024 02:00","Norway (NO)","18363.75","18118.32"
"01/01/2024 02:00 - 01/01/2024 03:00","Norway (NO)","18224.37","17992.59"
"01/01/2024 03:00 - 01/01/2024 04:00","Norway (NO)","18029.59","17851.08"
"01/01/2024 04:00 - 01/01/2024 05:00","Norway (NO)","18009.42","17826.83"
"01/01/2024 05:00 - 01/01/2024 06:00","Norway (NO)","18147.27","17915.33"
"01/01/2024 06:00 - 01/01/2024 07:00","Norway (NO)","18419.55","18183.41"
"01/01/2024 07:00 - 01/01/2024 08:00","Norway (NO)","18676.60","18407.25"
"01/01/2024 08:00 - 01/01/2024 09:00","Norway (NO)","18969.65","18799.75"
"01/01/2024 09:00 - 01/01/2024 10:00","Norway (NO)","19358.78","19295.57"
"01/01/2024 10:00 - 01/01/2024 11:00","Norway (NO)","19583.61","19671.89"
"01/01/2024 11:00 - 01/01/2024 12:00","Norway (NO)","19939.07","19932.48"
"01/01/2024 12:00 - 01/01/2024 13:00","Norway (NO)","20103.43","20061.83"
"01/01/2024 13:00 - 01/01/2024 14:00","Norway (NO)","20215.45","20204.98"
"01/01/2024 14:00 - 01/01/2024 15:00","Norway (NO)","20395.17","20268.46"
"01/01/2024 15:00 - 01/01/2024 16:00","Norway (NO)","20658.04","20407.48"
"01/01/2024 16:00 - 01/01/2024 17:00","Norway (NO)","20930.30","20761.02"
"01/01/2024 17:00 - 01/01/2024 18:00","Norway (NO)","20717.60","20818.80"
"01/01/2024 18:00 - 01/01/2024 19:00","Norway (NO)","20445.81","20609.46"
"01/01/2024 19:00 - 01/01/2024 20:00","Norway (NO)","20413.73","20426.63"
"01/01/2024 20:00 - 01/01/2024 21:00","Norway (NO)","20261.75","20350.23"
"01/01/2024 21:00 - 01/01/2024 22:00","Norway (NO)","19972.53","20057.98"
"01/01/2024 22:00 - 01/01/2024 23:00","Norway (NO)","19567.27","19619.45"
"01/01/2024 23:00 - 02/01/2024 00:00","Norway (NO)","19132.46","19186.56"
"02/01/2024 00:00 - 02/01/2024 01:00","Norway (NO)","18835.73","18803.86"
"02/01/2024 01:00 - 02/01/2024 02:00","Norway (NO)","18755.32","18748.57"
"02/01/2024 02:00 - 02/01/2024 03:00","Norway (NO)","18523.49","18630.29"
"02/01/2024 03:00 - 02/01/2024 04:00","Norway (NO)","18527.48","18481.15"
"02/01/2024 04:00 - 02/01/2024 05:00","Norway (NO)","18654.75","18631.19"
"02/01/2024 05:00 - 02/01/2024 06:00","Norway (NO)","19036.99","19166.25"
"02/01/2024 06:00 - 02/01/2024 07:00","Norway (NO)","19995.54","19793.23"
"02/01/2024 07:00 - 02/01/2024 08:00","Norway (NO)","21245.28","20775.24"
"02/01/2024 08:00 - 02/01/2024 09:00","Norway (NO)","22069.54","21533.31"
"02/01/2024 09:00 - 02/01/2024 10:00","Norway (NO)","22374.03","21932.85"
"02/01/2024 10:00 - 02/01/2024 11:00","Norway (NO)","22551.63","22342.28"
"02/01/2024 11:00 - 02/01/2024 12:00","Norway (NO)","22789.45","22287.60"
"02/01/2024 12:00 - 02/01/2024 13:00","Norway (NO)","22844.54","22534.62"
"02/01/2024 13:00 - 02/01/2024 14:00","Norway (NO)","22418.44","22496.97"
"02/01/2024 14:00 - 02/01/2024 15:00","Norway (NO)","22662.54","22349.17"
"02/01/2024 15:00 - 02/01/2024 16:00","Norway (NO)","22934.32","22787.23"
"02/01/2024 16:00 - 02/01/2024 17:00","Norway (NO)","22973.66","22881.16"
"02/01/2024 17:00 - 02/01/2024 18:00","Norway (NO)","22753.20","22632.23"
"02/01/2024 18:00 - 02/01/2024 19:00","Norway (NO)","22541.17","22387.04"
"02/01/2024 19:00 - 02/01/2024 20:00","Norway (NO)","22380.30","22310.68"
"02/01/2024 20:00 - 02/01/2024 21:00","Norway (NO)","22290.84","22159.90"
"02/01/2024 21:00 - 02/01/2024 22:00","Norway (NO)","21862.95","21865.34"
"02/01/2024 22:00 - 02/01/2024 23:00","Norway (NO)","21433.45","21287.77"
"02/01/2024 23:00 - 03/01/2024 00:00","Norway (NO)","20877.72","20750.22"
"03/01/2024 00:00 - 03/01/2024 01:00","Norway (NO)","20508.28","20293.20"
"03/01/2024 01:00 - 03/01/2024 02:00","Norway (NO)","20013.23","20262.50"
"03/01/2024 02:00 - 03/01/2024 03:00","Norway (NO)","19786.39","19920.56"
"03/01/2024 03:00 - 03/01/2024 04:00","Norway (NO)","19760.23","19686.80"
"03/01/2024 04:00 - 03/01/2024 05:00","Norway (NO)","19768.39","19776.55"
"03/01/2024 05:00 - 03/01/2024 06:00","Norway (NO)","20133.63","20039.90"
"03/01/2024 06:00 - 03/01/2024 07:00","Norway (NO)","21268.56","21166.98"
"03/01/2024 07:00 - 03/01/2024 08:00","Norway (NO)","22617.07","22397.82"
"03/01/2024 08:00 - 03/01/2024 09:00","Norway (NO)","22998.79","23062.17"
"03/01/2024 09:00 - 03/01/2024 10:00","Norway (NO)","23133.72","23021.24"
"03/01/2024 10:00 - 03/01/2024 11:00","Norway (NO)","23201.23","23173.94"
"03/01/2024 11:00 - 03/01/2024 12:00","Norway (NO)","23066.28","23099.32"
"03/01/2024 12:00 - 03/01/2024 13:00","Norway (NO)","22986.80","23236.18"
"03/01/2024 13:00 - 03/01/2024 14:00","Norway (NO)","23336.05","22970.22"
"03/01/2024 14:00 - 03/01/2024 15:00","Norway (NO)","23359.88","23365.73"
"03/01/2024 15:00 - 03/01/2024 16:00","Norway (NO)","23618.79","23547.45"
"03/01/2024 16:00 - 03/01/2024 17:00","Norway (NO)","24070.32","23587.76"
"03/01/2024 17:00 - 03/01/2024 18:00","Norway (NO)","23605.27","23554.51"
"03/01/2024 18:00 - 03/01/2024 19:00","Norway (NO)","23203.82","23191.37"
"03/01/2024 19:00 - 03/01/2024 20:00","Norway (NO)","22994.01","22813.60"
"03/01/2024 20:00 - 03/01/2024 21:00","Norway (NO)","22838.01","22750.48"
"03/01/2024 21:00 - 03/01/2024 22:00","Norway (NO)","22436.04","22476.03"
