"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 00:00 - 01/01/2024 01:00","Sweden (SE)","16961.00","16537.00"
"01/01/2024 01:00 - 01/01/2024 02:00","Sweden (SE)","16763.00","16359.00"
"01/01/2024 02:00 - 01/01/2024 03:00","Sweden (SE)","16597.00","16199.00"
"01/01/2024 03:00 - 01/01/2024 04:00","Sweden (SE)","16374.00","16116.00"
"01/01/2024 04:00 - 01/01/2024 05:00","Sweden (SE)","16406.00","16059.00"
"01/01/2024 05:00 - 01/01/2024 06:00","Sweden (SE)","16592.00","16094.00"
"01/01/2024 06:00 - 01/01/2024 07:00","Sweden (SE)","17010.00","16333.00"
"01/01/2024 07:00 - 01/01/2024 08:00","Sweden (SE)","17373.00","16606.00"
"01/01/2024 08:00 - 01/01/2024 09:00","Sweden (SE)","17653.00","17010.00"
"01/01/2024 09:00 - 01/01/2024 10:00","Sweden (SE)","17912.00","17437.00"
"01/01/2024 10:00 - 01/01/2024 11:00","Sweden (SE)","18193.00","17774.00"
"01/01/2024 11:00 - 01/01/2024 12:00","Sweden (SE)","18487.00","18073.00"
"01/01/2024 12:00 - 01/01/2024 13:00","Sweden (SE)","18822.00","18280.00"
"01/01/2024 13:00 - 01/01/2024 14:00","Sweden (SE)","18924.00","18348.00"
"01/01/2024 14:00 - 01/01/2024 15:00","Sweden (SE)","19194.00","18480.00"
"01/01/2024 15:00 - 01/01/2024 16:00","Sweden (SE)","19868.00","18906.00"
"01/01/2024 16:00 - 01/01/2024 17:00","Sweden (SE)","20037.00","19382.00"
"01/01/2024 17:00 - 01/01/2024 18:00","Sweden (SE)","20103.00","19446.00"
"01/01/2024 18:00 - 01/01/2024 19:00","Sweden (SE)","19962.00","19238.00"
"01/01/2024 19:00 - 01/01/2024 20:00","Sweden (SE)","19609.00","19032.00"
"01/01/2024 20:00 - 01/01/2024 21:00","Sweden (SE)","19032.00","18667.00"
"01/01/2024 21:00 - 01/01/2024 22:00","Sweden (SE)","18514.00","18185.00"
"01/01/2024 22:00 - 01/01/2024 23:00","Sweden (SE)","18089.00","17810.00"
"01/01/2024 23:00 - 02/01/2024 00:00","Sweden (SE)","17715.00","17400.00"
"02/01/2024 00:00 - 02/01/2024 01:00","Sweden (SE)","17670.00","17498.00"
"02/01/2024 01:00 - 02/01/2024 02:00","Sweden (SE)","17475.00","17311.00"
"02/01/2024 02:00 - 02/01/2024 03:00","Sweden (SE)","17367.00","17246.00"
"02/01/2024 03:00 - 02/01/2024 04:00","Sweden (SE)","17301.00","17267.00"
"02/01/2024 04:00 - 02/01/2024 05:00","Sweden (SE)","17482.00","17467.00"
"02/01/2024 05:00 - 02/01/2024 06:00","Sweden (SE)","18154.00","17922.00"
"02/01/2024 06:00 - 02/01/2024 07:00","Sweden (SE)","19553.00","19111.00"
"02/01/2024 07:00 - 02/01/2024 08:00","Sweden (SE)","20601.00","20254.00"
"02/01/2024 08:00 - 02/01/2024 09:00","Sweden (SE)","21352.00","20919.00"
"02/01/2024 09:00 - 02/01/2024 10:00","Sweden (SE)","21692.00","21127.00"
"02/01/2024 10:00 - 02/01/2024 11:00","Sweden (SE)","22071.00","21318.00"
"02/01/2024 11:00 - 02/01/2024 12:00","Sweden (SE)","22417.00","21470.00"
