valid_time,t2m,latitude,longitude
2024-01-01 00:00:00,278.6577,56.0,9.25
2024-01-01 01:00:00,278.27164,56.0,9.25
2024-01-01 02:00:00,278.2155,56.0,9.25
2024-01-01 03:00:00,278.04437,56.0,9.25
2024-01-01 04:00:00,278.04596,56.0,9.25
2024-01-01 05:00:00,278.1291,56.0,9.25
2024-01-01 06:00:00,277.98718,56.0,9.25
2024-01-01 07:00:00,278.04248,56.0,9.25
2024-01-01 08:00:00,278.03564,56.0,9.25
2024-01-01 09:00:00,278.11044,56.0,9.25
2024-01-01 10:00:00,278.58813,56.0,9.25
2024-01-01 11:00:00,278.72806,56.0,9.25
2024-01-01 12:00:00,278.81824,56.0,9.25
2024-01-01 13:00:00,278.65457,56.0,9.25
2024-01-01 14:00:00,278.16782,56.0,9.25
2024-01-01 15:00:00,278.0852,56.0,9.25
2024-01-01 16:00:00,277.85776,56.0,9.25
2024-01-01 17:00:00,277.89865,56.0,9.25
2024-01-01 18:00:00,277.861,56.0,9.25
2024-01-01 19:00:00,277.74603,56.0,9.25
2024-01-01 20:00:00,277.73486,56.0,9.25
2024-01-01 21:00:00,277.47348,56.0,9.25
2024-01-01 22:00:00,277.2486,56.0,9.25
2024-01-01 23:00:00,277.4779,56.0,9.25
2024-01-02 00:00:00,277.57343,56.0,9.25
2024-01-02 01:00:00,277.7728,56.0,9.25
2024-01-02 02:00:00,277.8777,56.0,9.25
2024-01-02 03:00:00,277.93988,56.0,9.25
2024-01-02 04:00:00,277.51794,56.0,9.25
2024-01-02 05:00:00,277.22827,56.0,9.25
2024-01-02 06:00:00,276.97186,56.0,9.25
2024-01-02 07:00:00,276.90295,56.0,9.25
2024-01-02 08:00:00,276.81253,56.0,9.25
2024-01-02 09:00:00,276.93085,56.0,9.25
2024-01-02 10:00:00,277.07068,56.0,9.25
2024-01-02 11:00:00,276.97714,56.0,9.25
2024-01-02 12:00:00,276.91196,56.0,9.25
2024-01-02 13:00:00,276.63742,56.0,9.25
2024-01-02 14:00:00,276.26678,56.0,9.25
2024-01-02 15:00:00,276.09366,56.0,9.25
2024-01-02 16:00:00,275.6261,56.0,9.25
2024-01-02 17:00:00,275.0813,56.0,9.25
2024-01-02 18:00:00,274.8412,56.0,9.25
2024-01-02 19:00:00,274.6735,56.0,9.25
2024-01-02 20:00:00,274.56323,56.0,9.25
2024-01-02 21:00:00,274.5058,56.0,9.25
2024-01-02 22:00:00,274.2638,56.0,9.25
2024-01-02 23:00:00,274.1026,56.0,9.25
2024-01-03 00:00:00,273.88492,56.0,9.25
2024-01-03 01:00:00,273.6151,56.0,9.25
2024-01-03 02:00:00,273.25397,56.0,9.25
2024-01-03 03:00:00,273.12427,56.0,9.25
2024-01-03 04:00:00,273.0549,56.0,9.25
2024-01-03 05:00:00,273.00095,56.0,9.25
2024-01-03 06:00:00,273.0088,56.0,9.25
2024-01-03 07:00:00,273.04535,56.0,9.25
2024-01-03 08:00:00,273.01782,56.0,9.25
2024-01-03 09:00:00,273.01328,56.0,9.25
2024-01-03 10:00:00,272.90814,56.0,9.25
2024-01-03 11:00:00,272.89636,56.0,9.25
2024-01-03 12:00:00,272.8455,56.0,9.25
2024-01-03 13:00:00,272.7622,56.0,9.25
2024-01-03 14:00:00,272.52618,56.0,9.25
2024-01-03 15:00:00,272.44507,56.0,9.25
2024-01-03 16:00:00,272.37997,56.0,9.25
2024-01-03 17:00:00,272.18964,56.0,9.25
2024-01-03 18:00:00,271.93097,56.0,9.25
2024-01-03 19:00:00,271.69696,56.0,9.25
2024-01-03 20:00:00,271.45984,56.0,9.25
2024-01-03 21:00:00,271.05554,56.0,9.25
2024-01-03 22:00:00,270.90118,56.0,9.25
2024-01-03 23:00:00,270.71713,56.0,9.25
2024-01-04 00:00:00,270.57715,56.0,9.25
2024-01-04 01:00:00,270.41855,56.0,9.25
2024-01-04 02:00:00,270.35928,56.0,9.25
2024-01-04 03:00:00,270.23145,56.0,9.25
2024-01-04 04:00:00,270.08386,56.0,9.25
2024-01-04 05:00:00,270.02164,56.0,9.25
2024-01-04 06:00:00,269.90778,56.0,9.25
2024-01-04 07:00:00,269.81873,56.0,9.25
2024-01-04 08:00:00,269.66254,56.0,9.25
2024-01-04 09:00:00,269.6037,56.0,9.25
2024-01-04 10:00:00,269.04504,56.0,9.25
2024-01-04 11:00:00,268.909,56.0,9.25
2024-01-04 12:00:00,268.90118,56.0,9.25
2024-01-04 13:00:00,268.79398,56.0,9.25
2024-01-04 14:00:00,268.44196,56.0,9.25
2024-01-04 15:00:00,267.92606,56.0,9.25
2024-01-04 16:00:00,267.70258,56.0,9.25
2024-01-04 17:00:00,267.3092,56.0,9.25
2024-01-04 18:00:00,267.0689,56.0,9.25
2024-01-04 19:00:00,266.9892,56.0,9.25
2024-01-04 20:00:00,267.1576,56.0,9.25
2024-01-04 21:00:00,267.12604,56.0,9.25
2024-01-04 22:00:00,267.4994,56.0,9.25
2024-01-04 23:00:00,267.263,56.0,9.25
2024-01-05 00:00:00,267.64456,56.0,9.25
2024-01-05 01:00:00,267.78568,56.0,9.25
2024-01-05 02:00:00,267.86285,56.0,9.25
2024-01-05 03:00:00,267.8197,56.0,9.25
2024-01-05 04:00:00,267.63757,56.0,9.25
2024-01-05 05:00:00,267.59583,56.0,9.25
2024-01-05 06:00:00,267.81525,56.0,9.25
2024-01-05 07:00:00,267.73892,56.0,9.25
2024-01-05 08:00:00,267.65173,56.0,9.25
2024-01-05 09:00:00,267.67377,56.0,9.25
2024-01-05 10:00:00,267.58252,56.0,9.25
2024-01-05 11:00:00,267.59146,56.0,9.25
2024-01-05 12:00:00,267.58392,56.0,9.25
2024-01-05 13:00:00,267.4834,56.0,9.25
2024-01-05 14:00:00,267.31848,56.0,9.25
2024-01-05 15:00:00,267.11426,56.0,9.25
2024-01-05 16:00:00,267.02963,56.0,9.25
2024-01-05 17:00:00,266.8413,56.0,9.25
2024-01-05 18:00:00,266.81757,56.0,9.25
2024-01-05 19:00:00,266.668,56.0,9.25
2024-01-05 20:00:00,266.4514,56.0,9.25
2024-01-05 21:00:00,266.4328,56.0,9.25
2024-01-05 22:00:00,266.87018,56.0,9.25
2024-01-05 23:00:00,267.26923,56.0,9.25
2024-01-06 00:00:00,267.46942,56.0,9.25
2024-01-06 01:00:00,267.68515,56.0,9.25
2024-01-06 02:00:00,268.1806,56.0,9.25
2024-01-06 03:00:00,268.38443,56.0,9.25
2024-01-06 04:00:00,268.83344,56.0,9.25
2024-01-06 05:00:00,269.169,56.0,9.25
2024-01-06 06:00:00,269.08374,56.0,9.25
2024-01-06 07:00:00,268.78735,56.0,9.25
2024-01-06 08:00:00,268.28528,56.0,9.25
2024-01-06 09:00:00,267.85458,56.0,9.25
2024-01-06 10:00:00,268.46326,56.0,9.25
2024-01-06 11:00:00,268.6819,56.0,9.25
